symbol,name,category,type,exchange
FSEAX,Fidelity Emerging Asia Fund,N/A,Mutual Fund,NAS
MFEGX,MFS Growth Fund Class A,N/A,Mutual Fund,NAS
VTCLX,Vanguard Tax-Managed Capital Ap,N/A,Mutual Fund,NAS
ACTHX,Invesco High Yld Muni Cl A,N/A,Mutual Fund,NAS
FAGOX,Fidelity Advisor Growth Opportu,N/A,Mutual Fund,NAS
FLATX,Fidelity Latin America Fund,N/A,Mutual Fund,NAS
MATFX,MATTHEWS ASIA INNOVATORS FUND I,N/A,Mutual Fund,NAS
ARTSX,Artisan Small Cap Fund Inv Shs,N/A,Mutual Fund,NAS
VFAIX,Vanguard Financial Index Fund A,N/A,Mutual Fund,NAS
PIODX,Pioneer Fund Class A,N/A,Mutual Fund,NAS
BALCX,"American Balanced Fund, Class C",N/A,Mutual Fund,NAS
SHSAX,BlackRock HlthSc Op A,N/A,Mutual Fund,NAS
AKRIX,Akre Focus - Institutional,N/A,Mutual Fund,NAS
FASMX,Fidelity Asset Manager 50%,N/A,Mutual Fund,NAS
VGIAX,Vanguard Growth and Income Fund,N/A,Mutual Fund,NAS
NYVTX,Davis New York Venture Fund A,N/A,Mutual Fund,NAS
LDLFX,Lord Abbett Investment Trust Sh,N/A,Mutual Fund,NAS
HNACX,Harbor Capital Appreciation Fun,N/A,Mutual Fund,NAS
MIGPX,MSIF Global Advantage Portfolio,N/A,Mutual Fund,NAS
ATACX,ATAC Rotation Fund - Investor C,N/A,Mutual Fund,NAS
VLCAX,Vanguard Large Cap Index Fund A,N/A,Mutual Fund,NAS
FRIAX,Franklin Income Fund Advisor Cl,N/A,Mutual Fund,NAS
RFETX,American Funds 2030 Target Date,N/A,Mutual Fund,NAS
MDLOX,BlackRock Global Alloc A,N/A,Mutual Fund,NAS
AVFIX,American Beacon Small Cap Value,N/A,Mutual Fund,NAS
TGBAX,Templeton Global Bond Fund Advi,N/A,Mutual Fund,NAS
FAGCX,Fidelity Advisor Growth Opportu,N/A,Mutual Fund,NAS
FKUTX,Franklin Utilities Fund Class A,N/A,Mutual Fund,NAS
AMANX,Amana Mutual Funds Trust - Inco,N/A,Mutual Fund,NAS
